127.0.0.1 - - [24/Oct/2017:16:34:09 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:34:15 +0300] "GET /ShareTravel/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:34:15 +0300] "GET /ShareTravel/login.jsp;jsessionid=70987FB398C71571A5425F493C9EC2B5 HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:34:16 +0300] "GET /ShareTravel/css/styleLogin.css HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:34:16 +0300] "GET /ShareTravel/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:07 +0300] "POST /ShareTravel/Register HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/css/styleIndex.css HTTP/1.1" 200 4900
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/pbs1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/pbs2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/pbs3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/pbs4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/pbs5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/pbs7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/pbs6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/images/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.eot? HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.woff HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.eot? HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.ttf HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:35:08 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:13 +0300] "GET /ShareTravel/ HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:13 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.eot? HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:13 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.eot? HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:13 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.woff HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:13 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:13 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:13 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.ttf HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:18 +0300] "GET /ShareTravel/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:18 +0300] "GET /ShareTravel/login.jsp HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:19 +0300] "GET /ShareTravel/css/styleLogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:19 +0300] "GET /ShareTravel/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:38:23 +0300] "POST /ShareTravel/login HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:00 +0300] "POST /ShareTravel/Register HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:00 +0300] "GET /ShareTravel/css/styleIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:01 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.woff HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:01 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:01 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.ttf HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:01 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:25 +0300] "GET /ShareTravel/ HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:26 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.woff HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:26 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:26 +0300] "GET /ShareTravel/css/fonts/SourceSansPro-Light-webfont.ttf HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:26 +0300] "GET /ShareTravel/css/fonts/League_Gothic-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Oct/2017:16:39:29 +0300] "GET /ShareTravel/contact.jsp HTTP/1.1" 500 2861
